161;Fringilla montifringilla Linnaeus, 1758;4568;Passeriformes;Fringillidae;01/03/1860;01/04/2000
162;Fulica atra Linnaeus, 1758;3070;Gruiformes;Rallidae;15/12/1871;23/08/1987
163;Fulmarus glacialis (Linnaeus, 1761);998;Procellariiformes;Procellariidae;23/04/1979;30/01/1990
164;Galerida cristata (Linnaeus, 1758);3656;Passeriformes;Alaudidae;23/11/1873;20/10/1939
165;Galerida theklae (C. L. Brehm, 1858);3661;Passeriformes;Alaudidae;21/05/1981;21/05/1981
166;Gallinago gallinago (Linnaeus, 1758);2543;Charadriiformes;Scolopacidae;24/03/1872;17/07/1974
167;Gallinago media (Latham, 1787);2549;Charadriiformes;Scolopacidae;20/04/1870;31/03/1949
168;Gallinula chloropus (Linnaeus, 1758);3059;Gruiformes;Rallidae;01/11/1875;10/01/2000
169;Garrulus glandarius (Linnaeus, 1758);4466;Passeriformes;Corvidae;04/10/1872;15/11/1994
170;Gavia adamsii (Gray, 1859);953;Gaviiformes;Gaviidae;16/11/1976;21/01/1981
171;Gavia arctica (Linnaeus, 1758);956;Gaviiformes;Gaviidae;14/04/1880;12/12/1991
172;Gavia immer (Brunnich, 1764);959;Gaviiformes;Gaviidae;19/04/1924;25/03/2006
173;Gavia stellata (Pontoppidan, 1763);2411;Gaviiformes;Gaviidae;09/04/1929;11/10/1983
174;Gelochelidon nilotica (Gmelin, 1789);3332;Charadriiformes;Laridae;15/05/1941;15/05/1941
175;Glareola pratincola (Linnaeus, 1766);3129;Charadriiformes;Glareolidae;29/05/1879;17/06/1930
176;Grus grus (Linnaeus, 1758);3076;Gruiformes;Gruidae;05/11/1881;01/10/1959
177;Gypaetus barbatus (Linnaeus, 1758);2852;Accipitriformes;Accipitridae;02/02/1872;05/02/1878
178;Gyps fulvus (Hablizl, 1783);2860;Accipitriformes;Accipitridae;07/03/1871;04/04/1990
179;Haematopus ostralegus Linnaeus, 1758;3106;Charadriiformes;Haematopodidae;25/03/1868;20/01/1987
180;Haliaeetus albicilla (Linnaeus, 1758);2848;Accipitriformes;Accipitridae;15/01/1868;30/11/1958
181;Hieraaetus pennatus (Gmelin, 1788);2651;Accipitriformes;Accipitridae;01/03/1849;28/08/1882
182;Himantopus himantopus (Linnaeus, 1758);3112;Charadriiformes;Recurvirostridae;29/04/1874;30/04/1949
183;Hippolais icterina (Vieillot, 1817);4212;Passeriformes;Sylviidae;01/05/1867;19/09/1970
184;Hippolais polyglotta (Vieillot, 1817);4215;Passeriformes;Sylviidae;01/06/1879;25/06/1987
185;Hirundo rustica Linnaeus, 1758;3696;Passeriformes;Hirundinidae;02/05/1867;04/07/1993
186;Hydrobates castro (Harcourt, 1851);790985;Procellariiformes;Hydrobatidae;07/10/1984;07/10/1984
187;Hydrobates leucorhous (Vieillot, 1818);790986;Procellariiformes;Hydrobatidae;24/12/1929;08/12/1992
188;Hydrobates pelagicus (Linnaeus, 1758);2419;Procellariiformes;Hydrobatidae;01/05/1921;29/08/1989
189;Hydrocoloeus minutus (Pallas, 1776);534748;Charadriiformes;Laridae;01/05/1908;06/11/1989
190;Ichthyaetus audouinii (Payraudeau, 1826);627743;Charadriiformes;Laridae;05/03/1951;05/03/1951
191;Ichthyaetus melanocephalus (Temminck, 1820);627745;Charadriiformes;Laridae;01/01/1899;27/01/1980
192;Jynx torquilla Linnaeus, 1758;3595;Piciformes;Picidae;27/03/1873;14/09/1982
193;Lagopus muta helvetica (Thienemann, 1829);2954;Galliformes;Phasianidae;03/11/1938;03/11/1938
194;Lanius collurio Linnaeus, 1758;3807;Passeriformes;Laniidae;26/05/1873;01/06/2012
195;Lanius excubitor Linnaeus, 1758;3814;Passeriformes;Laniidae;24/10/1869;03/02/1963
196;Lanius meridionalis Temminck, 1820;199409;Passeriformes;Laniidae;30/10/1881;02/01/1969
197;Lanius minor Gmelin, 1788;3811;Passeriformes;Laniidae;15/07/1869;14/06/1927
198;Lanius senator badius Hartlaub, 1854;4463;Passeriformes;Laniidae;16/06/1912;12/05/1931
199;Lanius senator senator Linnaeus, 1758;4462;Passeriformes;Laniidae;07/09/1873;18/08/1962
200;Lanius senator Linnaeus, 1758;4460;Passeriformes;Laniidae;04/09/1873;10/05/1880
201;Larus argentatus Pontoppidan, 1763;3302;Charadriiformes;Laridae;19/02/1918;10/06/1991
202;Larus canus Linnaeus, 1758;3293;Charadriiformes;Laridae;01/10/1909;19/07/1990
203;Larus fuscus fuscus Linnaeus, 1758;3299;Charadriiformes;Laridae;13/09/1929;11/11/1987
204;Larus fuscus graellsii Brehm, 1857;3300;Charadriiformes;Laridae;12/08/1930;07/05/1979
205;Larus fuscus Linnaeus, 1758;3297;Charadriiformes;Laridae;05/12/1917;03/09/1930
206;Larus glaucoides Meyer, 1822;3307;Charadriiformes;Laridae;27/10/1992;27/10/1992
207;Larus hyperboreus Gunnerus, 1767;3309;Charadriiformes;Laridae;15/02/1974;15/02/1974
208;Larus marinus Linnaeus, 1758;3311;Charadriiformes;Laridae;04/12/1917;23/01/1939
209;Larus michahellis Naumann, 1840;199374;Charadriiformes;Laridae;11/10/1909;28/08/1989
210;Limosa lapponica (Linnaeus, 1758);2568;Charadriiformes;Scolopacidae;08/09/1867;11/09/1983
211;Limosa limosa islandica Brehm, 1831;2567;Charadriiformes;Scolopacidae;12/09/1966;12/09/1966
212;Limosa limosa limosa (Linnaeus, 1758);2566;Charadriiformes;Scolopacidae;28/04/1874;21/11/1968
213;Limosa limosa (Linnaeus, 1758);2563;Charadriiformes;Scolopacidae;23/04/1874;05/05/2002
214;Locustella fluviatilis (Wolf, 1810);4170;Passeriformes;Sylviidae;11/09/1962;11/09/1962
215;Locustella luscinioides (Savi, 1824);4172;Passeriformes;Sylviidae;06/07/1929;16/06/1934
216;Locustella naevia (Boddaert, 1783);4167;Passeriformes;Sylviidae;21/06/1868;24/08/2000
217;Lophophanes cristatus (Linnaeus, 1758);534750;Passeriformes;Paridae;09/10/1879;31/03/1972
218;Loxia curvirostra Linnaeus, 1758;4603;Passeriformes;Fringillidae;01/05/1860;20/09/2002
219;Loxia pytyopsittacus Borkhausen, 1793;4607;Passeriformes;Fringillidae;17/10/1887;17/10/1887
220;Lullula arborea (Linnaeus, 1758);3670;Passeriformes;Alaudidae;10/01/1868;19/01/1987
221;Luscinia luscinia (Linnaeus, 1758);4010;Passeriformes;Saxicolidae;20/09/1989;20/09/1989
222;Luscinia megarhynchos C. L. Brehm, 1831;4013;Passeriformes;Saxicolidae;01/05/1904;02/06/2003
223;Luscinia svecica cyanecula (Wolf, 1810);4027;Passeriformes;Saxicolidae;06/09/1869;25/03/1961
224;Luscinia svecica namnetum Mayaud, 1934;4028;Passeriformes;Saxicolidae;21/07/1872;29/08/1989
225;Luscinia svecica svecica (Linnaeus, 1758);4026;Passeriformes;Saxicolidae;11/09/1933;15/09/1946
226;Luscinia svecica (Linnaeus, 1758);4023;Passeriformes;Saxicolidae;20/04/1915;12/09/1934
227;Lymnocryptes minimus (Brunnich, 1764);2538;Charadriiformes;Scolopacidae;15/11/1867;15/07/1957
228;Lyrurus tetrix (Linnaeus, 1758);2962;Galliformes;Phasianidae;22/10/1927;20/10/1938
229;Mareca penelope (Linnaeus, 1758);1952;Anseriformes;Anatidae;31/12/1927;11/10/1977
230;Mareca strepera (Linnaeus, 1758);836203;Anseriformes;Anatidae;16/02/1919;30/09/1952
231;Melanitta fusca (Linnaeus, 1758);2801;Anseriformes;Anatidae;22/03/1919;03/01/1937
232;Melanitta nigra (Linnaeus, 1758);2794;Anseriformes;Anatidae;30/04/1929;06/03/1990
233;Melanocorypha calandra (Linnaeus, 1766);3644;Passeriformes;Alaudidae;13/01/1880;24/08/2005
234;Mergellus albellus (Linnaeus, 1758);199312;Anseriformes;Anatidae;01/12/1920;04/01/1979
235;Mergus merganser Linnaeus, 1758;2818;Anseriformes;Anatidae;26/11/1917;30/09/1997
236;Mergus serrator Linnaeus, 1758;2816;Anseriformes;Anatidae;11/03/1918;31/03/1980
237;Merops apiaster Linnaeus, 1758;3582;Coraciiformes;Meropidae;25/04/1880;31/07/1972
238;Milvus migrans (Boddaert, 1783);2840;Accipitriformes;Accipitridae;24/03/1872;28/07/1990
239;Milvus milvus (Linnaeus, 1758);2844;Accipitriformes;Accipitridae;08/01/1872;31/12/1987
240;Monticola saxatilis (Linnaeus, 1758);4084;Passeriformes;Saxicolidae;27/05/1879;27/05/1945
241;Monticola solitarius (Linnaeus, 1758);4087;Passeriformes;Saxicolidae;04/12/1880;10/01/1953
242;Montifringilla nivalis (Linnaeus, 1766);4537;Passeriformes;Passeridae;20/12/1878;02/11/1959
243;Morus bassanus (Linnaeus, 1758);2437;Pelecaniformes;Sulidae;15/04/1870;12/02/1988
244;Motacilla alba alba Linnaeus, 1758;3943;Passeriformes;Motacillidae;01/10/1873;19/01/1987
245;Motacilla alba yarrellii Gould, 1837;3945;Passeriformes;Motacillidae;01/10/1873;07/01/1985
246;Motacilla alba Linnaeus, 1758;3941;Passeriformes;Motacillidae;24/06/1875;24/06/1875
247;Motacilla cinerea Tunstall, 1771;3755;Passeriformes;Motacillidae;18/03/1871;28/11/1985
248;Motacilla flava cinereocapilla Savi, 1831;3748;Passeriformes;Motacillidae;29/03/1952;29/03/1952
249;Motacilla flava flava Linnaeus, 1758;3744;Passeriformes;Motacillidae;14/04/1879;29/03/1956
250;Motacilla flava flavissima (Blyth, 1834);3745;Passeriformes;Motacillidae;12/05/1876;25/09/1973
251;Motacilla flava iberiae Hartert, 1921;3747;Passeriformes;Motacillidae;03/05/1930;10/05/1950
252;Motacilla flava Linnaeus, 1758;3741;Passeriformes;Motacillidae;20/04/1869;26/08/2003
253;Muscicapa striata (Pallas, 1764);4319;Passeriformes;Muscicapidae;11/06/1882;18/09/1986
254;Neophron percnopterus (Linnaeus, 1758);2856;Accipitriformes;Accipitridae;02/02/1872;09/05/1885
255;Netta rufina (Pallas, 1773);1984;Anseriformes;Anatidae;04/03/1958;04/03/1958
256;Nucifraga caryocatactes caryocatactes (Linnaeus, 1758);4482;Passeriformes;Corvidae;04/10/1887;26/09/1969
257;Nucifraga caryocatactes macrorhynchus Brehm, 1823;4483;Passeriformes;Corvidae;10/09/1950;07/10/1968
258;Nucifraga caryocatactes (Linnaeus, 1758);4480;Passeriformes;Corvidae;27/10/1887;16/09/1968
259;Numenius arquata (Linnaeus, 1758);2576;Charadriiformes;Scolopacidae;04/09/1877;14/02/1991
260;Numenius tenuirostris Vieillot, 1817;2574;Charadriiformes;Scolopacidae;01/10/1880;01/10/1880
261;Nycticorax nycticorax (Linnaeus, 1758);2481;Pelecaniformes;Ardeidae;27/10/1876;14/07/1966
262;Oenanthe hispanica (Linnaeus, 1758);4074;Passeriformes;Muscicapidae;23/04/1880;01/09/1963
